0,2,4,6,8
334,353,373,395,396
335,315,296,278,260
336,316,297,279,261
337,356,351,332,313
338,357,376,399,422
339,319,300,281,263
340,320,301,282,264
341,360,380,403,426
343,362,382,405,428
343,362,383,406,429
344,325,306,287,269
346,366,387,410,433
347,328,309,290,272
348,329,310,291,273
349,330,311,292,274
350,346,366,387,410
351,332,313,294,276
352,372,394,417,441
353,373,395,396,374
353,373,395,396,419
353,373,395,396,418
354,335,315,296,278
355,336,316,297,279
356,351,332,313,294
357,376,399,422,446
358,339,319,300,281
359,340,320,301,282
360,380,403,426,450
362,382,405,428,452
362,383,406,429,453
363,384,407,430,454
364,344,325,306,287
366,387,410,433,459
367,346,366,387,410
368,347,328,309,290
369,348,329,310,291
370,349,330,311,292
371,351,332,313,294
372,394,417,441,467
373,395,396,374,354
374,354,335,315,296
375,355,336,316,297
376,399,422,446,472
377,357,376,399,422
378,358,339,319,300
379,359,340,320,301
380,403,426,450,476
382,405,428,452,478
383,406,429,453,479
384,407,430,454,480
385,364,344,325,306
387,410,433,459,485
388,367,346,366,387
389,368,347,328,309
390,369,348,329,310
391,370,349,330,311
392,371,351,332,313
393,416,440,466,493
394,417,441,467,494
395,396,374,354,335
396,374,354,335,315
397,420,444,470,497
398,375,355,336,316
399,422,446,472,499
400,377,357,376,399
401,378,358,339,319
402,379,359,340,320
403,426,450,476,503
404,427,451,477,504
405,428,452,478,505
407,430,454,480,506
408,385,364,344,325
410,433,459,485,511
411,388,367,346,366
412,389,368,347,328
413,390,369,348,329
414,391,370,349,330
415,392,371,351,332
416,440,466,493,519
417,441,467,494,520
418,396,374,354,335
419,396,374,354,335
420,444,470,497,523
421,398,375,355,336
422,446,472,499,525
423,400,377,357,376
424,401,378,358,339
425,402,379,359,340
426,450,476,503,529
427,451,477,504,530
428,452,478,505,533
430,454,480,506,534
431,408,385,364,344
432,457,483,509,538
433,459,485,511,540
434,411,388,367,346
435,412,389,368,347
436,412,389,368,347
437,413,390,369,348
438,414,391,370,349
439,415,392,371,351
440,466,493,519,548
440,466,493,519,549
441,467,494,520,550
442,418,396,374,354
443,419,396,374,354
444,470,497,523,554
445,421,398,375,355
446,472,499,525,556
447,423,400,377,357
448,424,401,378,358
449,425,402,379,359
450,476,503,529,561
451,477,504,530,562
452,478,505,533,565
454,480,506,534,566
456,432,457,483,509
457,483,509,538,570
458,484,510,539,571
459,485,511,540,572
460,434,411,388,367
461,435,412,389,368
462,436,412,389,368
463,437,413,390,369
464,491,486,460,434
464,438,414,391,370
465,439,415,392,371
466,493,519,548,580
466,493,519,549,581
467,494,520,550,582
468,442,418,396,374
468,442,418,396,419
469,443,419,396,374
469,443,419,396,418
470,497,523,554,586
471,445,421,398,375
472,499,525,556,588
473,465,439,415,392
473,447,423,400,377
474,448,424,401,378
475,449,425,402,379
476,503,529,561,593
477,504,530,562,594
478,505,533,565,597
482,456,432,457,483
483,509,538,570,602
484,510,539,571,603
485,511,540,572,604
486,460,434,411,388
487,461,435,412,389
488,462,436,412,435
488,462,436,412,389
489,463,437,413,390
489,516,545,577,608
490,464,491,486,460
490,464,438,414,391
491,486,460,434,411
492,464,491,486,460
492,464,438,414,391
493,519,548,580,611
493,519,549,581,612
494,520,550,582,613
495,468,442,418,396
496,469,443,419,396
497,523,554,586,617
498,471,445,421,398
499,525,556,588,619
500,473,465,439,415
500,473,447,423,400
501,474,448,424,401
502,475,449,425,402
503,529,561,593,625
503,529,561,593,624
504,530,562,594,626
505,533,565,597,573
508,482,456,432,409
508,482,456,432,457
509,538,570,602,629
510,539,571,603,633
511,540,572,604,634
512,487,461,435,412
513,488,462,436,412
514,488,462,436,412
515,489,463,437,413
515,489,516,545,577
516,545,577,608,640
517,490,464,491,486
517,490,464,438,414
518,492,464,491,486
518,492,464,438,414
519,548,580,611,643
519,549,581,612,644
520,550,582,613,645
521,495,468,442,418
522,496,469,443,419
523,554,586,617,649
524,498,471,445,421
525,556,588,619,650
526,500,473,465,439
526,500,473,447,423
527,501,474,448,424
528,502,475,449,425
529,561,593,625,655
529,561,593,624,630
530,562,594,626,631
531,563,595,627,656
532,505,533,565,597
533,565,597,573,541
537,508,482,456,432
538,570,602,629,658
538,570,602,629,659
539,571,603,633,660
540,572,604,634,661
541,512,487,461,435
542,513,488,462,436
543,514,488,462,436
544,515,489,463,437
544,515,489,516,545
545,577,608,640,667
546,517,490,464,491
546,517,490,464,438
547,518,492,464,491
547,518,492,464,438
547,518,492,464,490
548,580,611,643,670
549,581,612,644,671
550,582,613,645,673
551,521,495,468,442
552,522,496,469,443
553,522,496,469,443
554,586,617,649,678
555,524,498,471,445
556,588,619,650,679
557,526,500,473,465
557,526,500,473,447
558,527,501,474,448
559,528,502,475,449
560,529,561,593,625
560,529,561,593,624
561,593,625,655,685
561,593,624,630,599
562,594,626,631,600
563,595,627,656,662
563,595,627,656,686
564,532,505,533,565
565,597,573,541,512
567,535,507,481,455
568,536,507,481,455
569,537,508,482,456
570,602,629,658,688
570,602,629,659,689
571,603,633,660,691
572,604,634,661,692
573,541,512,487,461
574,542,513,488,514
574,542,513,488,462
575,543,514,488,462
576,544,515,489,463
576,544,515,489,516
577,608,640,667,697
578,546,517,490,464
579,547,518,492,464
580,611,643,670,700
581,612,644,671,701
582,613,645,673,654
583,551,521,495,468
584,552,522,496,469
585,553,522,496,469
586,617,649,678,708
587,555,524,498,471
588,619,650,679,709
589,557,526,500,473
590,558,527,501,474
591,559,528,502,475
592,560,529,561,593
593,625,655,685,716
593,624,630,599,567
594,626,631,600,568
595,627,656,662,635
595,627,656,686,717
596,564,532,505,533
597,573,541,512,487
599,567,535,507,536
599,567,535,507,481
600,568,536,507,481
601,569,537,508,482
602,629,658,688,719
602,629,659,689,720
603,633,660,691,722
604,634,661,692,723
605,574,542,513,488
606,575,543,514,488
607,576,544,515,489
608,640,667,697,728
609,578,546,517,490
610,579,547,518,492
611,643,670,700,733
612,644,671,701,734
613,645,673,654,623
614,583,551,521,495
615,584,552,522,553
615,584,552,522,496
616,585,553,522,496
617,649,678,708,742
618,587,555,524,498
619,650,679,709,743
620,589,557,526,500
621,590,558,527,501
622,591,559,528,502
623,592,560,529,561
624,630,599,567,535
625,655,685,716,750
626,631,600,568,536
627,656,662,635,605
627,656,686,717,751
628,596,564,532,505
629,658,688,719,753
629,659,689,720,754
630,599,567,535,507
631,600,568,536,507
632,601,569,537,508
633,660,691,722,756
634,661,692,723,757
635,605,574,542,513
636,663,693,724,758
637,605,574,542,513
638,606,575,543,514
639,607,576,544,515
640,667,697,728,764
641,609,578,546,517
642,610,579,547,518
643,670,700,733,770
644,671,701,734,771
645,673,654,623,592
646,614,583,551,521
647,615,584,552,522
648,616,585,553,522
649,678,708,742,778
649,678,708,742,777
650,679,709,743,779
651,620,589,557,526
652,621,590,558,527
653,632,601,569,537
654,623,592,560,529
655,685,716,750,786
656,662,635,605,574
656,686,717,751,787
657,628,596,564,532
658,688,719,753,789
659,689,720,754,790
660,691,722,756,794
660,691,722,756,793
661,692,723,757,796
661,692,723,757,795
662,635,605,574,542
663,693,724,758,797
664,637,605,574,542
665,638,606,575,543
666,639,607,576,544
667,697,728,764,803
668,641,609,578,546
669,642,610,579,547
670,700,733,770,809
671,701,734,771,810
672,702,735,772,811
673,654,623,592,560
674,704,738,774,813
675,646,614,583,551
676,647,615,584,552
677,648,616,585,553
678,708,742,777,817
679,709,743,779,782
680,651,620,589,557
682,653,632,601,569
683,653,632,601,569
684,653,632,601,569
685,716,750,786,824
685,716,750,786,825
686,717,751,787,826
687,657,628,596,564
688,719,753,789,828
689,720,754,790,829
690,660,691,722,756
691,722,756,794,833
691,722,756,793,832
692,723,757,795,834
693,724,758,797,836
694,664,637,605,635
694,664,637,605,574
695,665,638,606,575
696,666,639,607,576
697,728,764,803,841
698,729,765,804,842
698,668,641,609,578
699,669,642,610,579
700,733,770,809,847
701,734,771,810,848
702,735,772,811,849
703,672,702,735,772
704,738,774,813,816
705,675,646,614,583
706,676,647,615,584
707,677,648,616,585
709,743,779,782,746
710,680,651,620,589
713,682,653,632,601
714,683,653,632,601
715,684,653,632,601
716,750,786,824,859
717,751,787,826,861
718,687,657,628,596
719,753,789,828,863
720,754,790,829,865
720,754,790,829,864
721,690,660,691,722
722,756,794,833,856
722,756,793,832,867
723,757,795,834,868
724,758,797,836,870
725,694,664,637,605
726,695,665,638,606
727,696,666,639,607
728,764,803,841,875
729,765,804,842,876
730,698,729,765,804
730,698,668,641,609
731,698,729,765,804
731,698,668,641,609
732,699,669,642,610
733,770,809,847,881
734,771,810,848,882
735,772,811,849,883
736,740,706,676,647
737,703,672,702,735
738,774,813,816,776
739,705,675,646,614
740,706,676,647,615
741,707,677,648,616
743,779,782,746,711
744,710,680,651,620
747,713,682,653,632
748,714,683,653,632
749,715,684,653,632
750,786,824,859,892
751,787,826,861,895
752,718,687,657,628
753,789,828,863,897
754,790,829,865,830
754,790,829,864,898
755,721,690,660,691
756,794,833,856,821
756,793,832,867,900
757,795,834,868,901
758,797,836,870,903
759,798,837,871,904
760,725,694,664,637
761,725,694,664,637
762,726,695,665,638
763,727,696,666,639
764,803,841,875,908
765,804,842,876,909
766,730,698,729,765
766,730,698,668,641
767,731,698,729,765
767,731,698,668,641
768,732,699,669,642
769,808,846,880,914
770,809,847,881,915
771,810,848,882,916
772,811,849,883,918
773,737,703,672,702
774,813,816,776,815
775,739,705,675,646
776,815,852,886,921
779,782,746,711,681
780,744,710,680,651
781,745,711,681,712
782,746,711,681,712
783,747,713,682,653
784,748,714,683,653
785,749,715,684,653
786,824,859,892,927
787,826,861,895,930
788,752,718,687,657
789,828,863,897,932
789,828,863,897,931
790,829,865,830,791
790,829,864,898,934
791,755,721,690,660
792,756,794,833,856
792,756,793,832,867
793,832,867,900,936
794,833,856,821,783
795,834,868,901,937
796,757,795,834,868
797,836,870,903,939
798,837,871,904,940
799,760,725,694,664
800,761,725,694,664
801,762,726,695,665
802,763,727,696,666
803,841,875,908,944
804,842,876,909,945
805,766,730,698,729
805,766,730,698,731
805,766,730,698,668
806,767,731,698,729
806,767,731,698,668
807,768,732,699,669
808,846,880,914,950
809,847,881,915,951
810,848,882,916,952
811,849,883,918,954
812,773,737,703,672
813,816,776,815,852
814,775,739,705,675
815,852,886,921,957
816,776,815,852,886
818,778,742,777,817
819,780,744,710,680
820,781,745,711,681
821,783,747,713,682
822,784,748,714,683
823,785,749,715,684
824,859,892,927,924
825,786,824,859,892
826,861,895,930,964
826,861,895,930,966
827,788,752,718,687
828,863,897,932,967
828,863,897,931,896
829,865,830,791,755
829,864,898,934,969
830,791,755,721,690
831,792,756,794,833
831,792,756,793,832
832,867,900,936,971
833,856,821,783,747
834,868,901,937,972
835,796,757,795,834
836,870,903,939,974
837,871,904,940,976
838,799,760,725,694
839,800,761,725,694
840,802,763,727,696
841,875,908,944,980
842,876,909,945,981
843,805,766,730,698
844,806,767,731,698
845,807,768,732,699
846,880,914,950,987
847,881,915,951,988
848,882,916,952,989
849,883,918,954,993
850,812,773,737,703
851,814,775,739,705
852,886,921,957,992
853,818,778,742,777
854,819,780,744,710
855,820,781,745,711
856,821,783,747,713
857,822,784,748,714
858,891,926,961,1001
858,823,785,749,715
859,892,927,924,889
860,825,786,824,859
861,895,930,964,1004
861,895,930,966,1006
862,827,788,752,718
863,897,932,967,1007
863,897,931,896,862
864,898,934,969,1009
865,830,791,755,721
866,831,792,756,794
866,831,792,756,722
866,831,792,756,793
867,900,936,971,1011
868,901,937,972,1012
869,835,796,757,795
870,903,939,974,937
871,904,940,976,1015
872,838,799,760,725
873,839,800,761,725
874,840,802,763,727
875,908,944,980,1019
876,909,945,981,1020
877,843,805,766,730
878,844,806,767,731
879,845,807,768,732
880,914,950,987,1027
881,915,951,988,1028
882,916,952,989,1029
883,918,954,993,1032
884,850,812,773,737
885,851,814,775,739
886,921,957,992,954
887,854,819,780,744
888,855,820,781,745
889,857,822,784,748
890,858,891,926,961
890,858,823,785,749
891,926,961,1001,1041
892,927,924,889,857
894,929,963,1003,1043
895,930,964,1004,1044
895,930,966,1006,1045
896,862,827,788,752
897,932,967,1007,1046
897,931,896,862,827
898,934,969,1009,1048
899,866,831,792,756
900,936,971,1011,1051
901,937,972,1012,1052
902,869,835,796,757
903,939,974,937,972
904,940,976,1015,1005
905,872,838,799,760
906,873,839,800,761
907,874,840,802,763
908,944,980,1019,1058
909,945,981,1020,1059
910,877,843,805,766
911,878,844,806,767
912,879,845,807,768
913,879,845,807,768
914,950,987,1027,1062
915,951,988,1028,1065
916,952,989,1029,1066
917,953,990,1030,1067
917,882,916,952,989
918,954,993,1032,1069
919,884,850,812,773
920,885,851,814,775
921,957,992,954,993
922,887,854,819,780
923,888,855,820,781
924,889,857,822,784
925,890,858,891,926
925,890,858,823,785
926,961,1001,1041,1042
927,924,889,857,822
929,963,1003,1043,1070
930,964,1004,1044,1078
930,966,1006,1045,1079
931,896,862,827,788
932,967,1007,1046,1080
933,897,932,967,1007
933,897,931,896,862
934,969,1009,1048,1082
935,899,866,831,792
936,971,1011,1051,1085
937,972,1012,1052,1086
938,902,869,835,796
939,974,937,972,1012
940,976,1015,1005,965
941,905,872,838,799
942,906,873,839,800
943,907,874,840,802
944,980,1019,1058,1092
945,981,1020,1059,1093
946,982,1021,1060,1094
946,910,877,843,805
947,911,878,844,806
948,912,879,845,807
949,913,879,845,807
950,987,1027,1062,1096
951,988,1028,1065,1099
952,989,1029,1066,1101
953,990,1030,1067,1102
954,993,1032,1069,1104
955,919,884,850,812
956,920,885,851,814
957,992,954,993,1032
958,922,887,854,819
959,923,888,855,820
960,1000,1040,1077,1112
960,925,890,858,891
960,925,890,858,823
961,1001,1041,1042,1002
964,1004,1044,1078,1113
965,930,964,1004,1044
965,930,966,1006,1045
966,1006,1045,1079,1114
967,1007,1046,1080,1115
968,933,897,932,967
968,933,897,931,896
969,1009,1048,1082,1117
970,935,899,866,831
971,1011,1051,1085,1110
972,1012,1052,1086,1122
972,1012,1052,1086,1121
973,937,972,1012,1052
974,937,972,1012,1052
975,938,902,869,835
976,1015,1005,965,930
977,941,905,872,838
978,942,906,873,839
979,943,907,874,840
980,1019,1058,1092,1129
981,1020,1059,1093,1130
982,1021,1060,1094,1131
983,946,982,1021,1060
983,946,910,877,843
984,947,911,878,844
985,1025,1014,975,938
985,948,912,879,845
986,949,913,879,845
987,1027,1062,1096,1133
988,1028,1065,1099,1136
989,1029,1066,1101,1138
990,1030,1067,1102,1139
991,954,993,1032,1069
992,954,993,1032,1069
993,1032,1069,1104,1141
994,955,919,884,850
995,956,920,885,851
996,958,922,887,854
997,959,923,888,855
998,960,1000,1040,1077
998,960,925,890,858
999,960,1000,1040,1077
999,960,925,890,858
1000,1040,1077,1112,1149
1001,1041,1042,1002,962
1004,1044,1078,1113,1150
1005,965,930,964,1004
1005,965,930,966,1006
1006,1045,1079,1114,1151
1006,1045,1079,1114,1153
1006,1045,1079,1114,1152
1007,1046,1080,1115,1154
1008,968,933,897,863
1008,968,933,897,932
1008,968,933,897,931
1009,1048,1082,1117,1157
1010,970,935,899,866
1011,1051,1085,1110,1075
1012,1052,1086,1122,1162
1012,1052,1086,1121,1161
1013,973,937,972,1012
1014,975,938,902,869
1015,1005,965,930,964
1015,1005,965,930,966
1016,977,941,905,872
1017,978,942,906,873
1018,979,943,907,874
1019,1058,1092,1129,1169
1020,1059,1093,1130,1170
1021,1060,1094,1131,1171
1022,983,946,982,1021
1022,983,946,910,877
1023,984,947,911,878
1024,985,1025,1014,975
1024,985,948,912,879
1025,1014,975,938,902
1026,986,949,913,879
1027,1062,1096,1133,1173
1028,1065,1099,1136,1176
1029,1066,1101,1138,1178
1030,1067,1102,1139,1177
1031,991,954,993,1032
1032,1069,1104,1141,1180
1034,994,955,919,884
1035,995,956,920,885
1036,996,958,922,887
1037,997,959,923,888
1038,998,960,1000,1040
1038,998,960,925,890
1039,999,960,1000,1040
1039,999,960,925,890
1040,1077,1112,1149,1188
1041,1042,1002,962,928
1042,1002,962,928,893
1044,1078,1113,1150,1189
1045,1079,1114,1151,1190
1045,1079,1114,1153,1192
1046,1080,1115,1154,1193
1047,1008,968,933,897
1048,1082,1117,1157,1196
1049,1010,970,935,899
1050,1011,1051,1085,1110
1051,1085,1110,1075,1038
1052,1086,1122,1162,1202
1052,1086,1121,1161,1201
1053,1013,973,937,972
1054,1015,1005,965,930
1055,1016,977,941,905
1056,1017,978,942,906
1057,1018,979,943,907
1058,1092,1129,1169,1209
1059,1093,1130,1170,1210
1060,1094,1131,1171,1211
1061,1022,983,946,982
1061,1022,983,946,910
1062,1096,1133,1173,1213
1063,1024,985,1025,1014
1063,1024,985,948,912
1064,1026,986,949,913
1065,1099,1136,1176,1217
1066,1101,1138,1178,1218
1067,1102,1139,1177,1137
1068,1031,991,954,993
1069,1104,1141,1180,1220
1071,1034,994,955,919
1072,1035,995,956,920
1073,1036,996,958,922
1074,1037,997,959,923
1075,1038,998,960,1000
1075,1038,998,960,925
1076,1039,999,960,1000
1076,1039,999,960,925
1077,1112,1149,1188,1228
1078,1113,1150,1189,1229
1079,1114,1151,1190,1230
1079,1114,1153,1192,1232
1080,1115,1154,1193,1233
1081,1047,1008,968,933
1082,1117,1157,1196,1158
1083,1049,1010,970,935
1083,1119,1159,1199,1238
1084,1050,1011,1051,1085
1085,1110,1075,1038,998
1086,1122,1162,1202,1241
1086,1121,1161,1201,1240
1087,1053,1013,973,937
1088,1054,1015,1005,965
1089,1055,1016,977,941
1090,1127,1167,1207,1246
1090,1056,1017,978,942
1091,1057,1018,979,943
1092,1129,1169,1209,1248
1093,1130,1170,1210,1249
1094,1131,1171,1211,1250
1095,1061,1022,983,946
1096,1133,1173,1213,1251
1097,1063,1024,985,1025
1097,1063,1024,985,948
1098,1064,1026,986,949
1099,1136,1176,1217,1256
1100,1065,1099,1136,1176
1101,1138,1178,1218,1258
1102,1139,1177,1137,1100
1103,1068,1031,991,954
1104,1141,1180,1220,1260
1106,1071,1034,994,955
1107,1072,1035,995,956
1108,1146,1185,1225,1265
1108,1073,1036,996,958
1109,1074,1037,997,959
1110,1075,1038,998,960
1111,1076,1039,999,960
1112,1149,1188,1228,1221
1113,1150,1189,1229,1268
1114,1151,1190,1230,1269
1114,1153,1192,1232,1271
1115,1154,1193,1233,1272
1116,1081,1047,1008,968
1117,1157,1196,1158,1198
1117,1157,1196,1158,1118
1118,1083,1049,1010,970
1118,1083,1119,1159,1199
1119,1159,1199,1238,1239
1120,1084,1050,1011,1051
1121,1161,1201,1240,1277
1122,1162,1202,1241,1278
1123,1087,1053,1013,973
1124,1088,1054,1015,1005
1125,1090,1127,1167,1207
1125,1090,1056,1017,978
1126,1090,1127,1167,1207
1126,1090,1056,1017,978
1127,1167,1207,1246,1283
1128,1091,1057,1018,979
1129,1169,1209,1248,1285
1130,1170,1210,1249,1212
1131,1171,1211,1250,1286
1132,1095,1061,1022,983
1133,1173,1213,1251,1287
1134,1097,1063,1024,985
1135,1098,1064,1026,986
1136,1176,1217,1256,1291
1137,1100,1065,1099,1136
1138,1178,1218,1258,1293
1139,1177,1137,1100,1065
1140,1103,1068,1031,991
1141,1180,1220,1260,1295
1143,1106,1071,1034,994
1144,1107,1072,1035,995
1145,1108,1146,1185,1225
1145,1108,1073,1036,996
1146,1185,1225,1265,1300
1147,1109,1074,1037,997
1148,1111,1076,1039,999
1149,1188,1228,1221,1181
1150,1189,1229,1268,1305
1151,1190,1230,1269,1306
1152,1114,1151,1190,1230
1152,1114,1153,1192,1232
1153,1192,1232,1271,1309
1154,1193,1233,1272,1310
1155,1115,1154,1193,1233
1156,1116,1081,1047,1008
1157,1196,1158,1198,1237
1157,1196,1158,1118,1083
1158,1198,1237,1276,1314
1158,1118,1083,1049,1010
1158,1118,1083,1119,1159
1159,1199,1238,1239,1200
1160,1120,1084,1050,1011
1161,1201,1240,1277,1315
1162,1202,1241,1278,1316
1163,1123,1087,1053,1013
1164,1124,1088,1054,1015
1165,1125,1090,1127,1167
1165,1125,1090,1056,1017
1166,1126,1090,1127,1167
1166,1126,1090,1056,1017
1167,1207,1246,1283,1319
1168,1128,1091,1057,1018
1169,1209,1248,1285,1321
1170,1210,1249,1212,1172
1171,1211,1250,1286,1322
1172,1132,1095,1061,1022
1173,1213,1251,1287,1323
1174,1134,1097,1063,1024
1175,1135,1098,1064,1026
1176,1217,1256,1291,1327
1177,1137,1100,1065,1099
1178,1218,1258,1293,1329
1179,1140,1103,1068,1031
1180,1220,1260,1295,1261
1182,1143,1106,1071,1034
1183,1144,1107,1072,1035
1184,1145,1108,1146,1185
1184,1145,1108,1073,1036
1185,1225,1265,1300,1335
1186,1147,1109,1074,1037
1187,1148,1111,1076,1039
1188,1228,1221,1181,1142
1189,1229,1268,1305,1340
1190,1230,1269,1306,1341
1191,1152,1114,1151,1190
1191,1152,1114,1153,1192
1192,1232,1271,1309,1343
1193,1233,1272,1310,1346
1193,1233,1272,1310,1345
1194,1155,1115,1154,1193
1195,1156,1116,1081,1047
1196,1158,1198,1237,1276
1196,1158,1118,1083,1049
1196,1158,1118,1083,1119
1197,1158,1198,1237,1276
